DATE,Food,Smoke,Drugs,MedEq,Telcm
192607,0.12,1.29,0.91,4.95,0.83
192608,2.68,6.5,4.26,4.2,2.17
192609,1.58,1.26,-0.26,4.02,2.41
192610,-3.68,1.06,-1.76,3.47,-0.11
192611,6.26,4.55,5.76,4.33,1.63
192612,0.18,2.55,1.15,-3.28,1.99
192701,-0.16,-0.35,4.93,5.45,1.88
192702,3.66,1.49,0.68,5.19,3.97
192703,2.74,5.51,0.93,1.25,5.56
192704,2.1,4.01,3.69,-0.37,-2.13
192705,6.62,11.8,3.6,5.88,3.35
192706,-1.94,-2.3,-0.39,3.68,-2.14
192707,4.83,4.39,9.33,11.44,3.73
192708,2.4,3.83,1.09,-2.24,0.43
192709,5.77,4.63,4.7,8.71,6.53
192710,-1.75,-0.32,6.11,2.04,-2.09
192711,7.31,6.69,4.45,1.19,2.83
192712,4.42,1.03,-0.54,-0.2,1.33
192801,3.4,-2.56,2.5,3.34,0.3
192802,-3.58,-5.97,-1.25,-1.82,-0.3
192803,5.77,2.34,10.76,10.07,1.96
192804,3.24,-5.95,0.81,5.67,3.22
192805,2.02,-0.03,11.39,4.95,6.61
192806,-4.25,-4.3,-3.74,-1.88,-5.22
192807,1.27,3.35,3.62,-1.28,-1.28
192808,8.79,3.79,16.56,8.35,4.55
192809,2.12,-0.39,-3.58,7.06,0.15
192810,-1.19,3.44,0.28,-0.65,2.97
192811,7.34,6.79,5.86,2.57,6.68
192812,0.82,-1.92,0.01,-1.73,-0.38
192901,2.34,3.79,3.05,4.6,13.38
192902,-2.89,-4.64,-0.71,2.37,-1.15
192903,-3.65,-4.19,-2.47,1.4,4.29
192904,5.24,-2.41,1.43,1.64,3.39
192905,-4.88,-0.21,-7.06,-10.09,-8.77
192906,9.48,-0.13,2.71,9.93,13.7
192907,5.09,2.05,3.34,1.09,13.68
192908,4.46,8.29,5.5,-1.86,10.98
192909,-2.64,-7.62,-7.35,-6.31,-1.37
192910,-16,2.32,-19.1,-15.64,-15.39
192911,-9.79,-6.2,-7.77,-8.19,-9.47
192912,0.47,2.72,1.34,0.62,1.01
193001,5.74,8.56,1.64,4.49,1.2
193002,0.92,5.52,1.22,7.18,7.06
193003,1.13,4.3,6.06,5.8,8.79
193004,3.16,-2.88,1.67,-9.23,-4.52
193005,2.31,1.86,-0.24,-5.28,0.4
193006,-12.14,-8.86,-12.81,-14.78,-8.34
193007,3.41,2.93,4.97,12.63,1.27
193008,1.66,4.62,9.48,1.21,1.74
193009,-9.9,-8.78,-9.3,-6.33,-5.27
193010,-3.91,-4.74,-4.91,-2.28,-4.12
193011,0.91,-0.93,-2.7,-5.21,-3.27
193012,-3.44,-3.11,-7.96,-2.32,-3.8
193101,4.89,6.43,7.78,9.92,4.79
193102,6.61,6.94,9.49,1.76,5.95
193103,-1.97,0.22,2.27,-0.02,-3.58
193104,-8.89,2.69,-2.92,-6.43,-4.25
193105,-12.61,-11.13,-8.23,-18.72,-8.94
193106,10.74,12.63,9.13,12.29,10.21
193107,-4.31,-3.49,4.24,-6.39,-4.87
193108,1.85,-3.51,-0.45,5.52,0.82
193109,-27.87,-21.7,-30.06,-25.97,-21.56
193110,11.74,6.08,10.27,16.81,4.34
193111,-2.71,-6.1,-1.61,-8.99,-6.86
193112,-10.02,-6.26,-4.1,-4.07,-7.94
193201,-1.01,8.17,-3.28,0.94,-4.04
193202,6.73,3.28,4.24,-10.12,11.63
193203,-6.82,-4.51,-7.25,-1.05,-9.9
193204,-12.89,-9.89,-19.65,-20.48,-12.39
193205,-22.34,-21.45,-35.47,-25.4,-10.81
193206,-0.61,5.85,8.84,22.61,-9.55
193207,28.25,24.67,31.79,16.25,16.7
193208,24.24,17.6,37.71,25.6,28.17
193209,-0.33,0.11,-13.57,-1.97,0.24
193210,-8.97,-13.98,-19.32,-14.39,-8.13
193211,-7.43,-8.34,6.74,-0.7,-1.12
193212,6.85,0.91,9.73,-8.74,3.67
193301,-0.29,11.41,-1.62,2.11,0.31
193302,-9.63,-8.55,-9.6,-18.56,-7.77
193303,11.18,7.93,-4.81,8.21,-5.85
193304,32.63,33.04,39.5,22.12,13.22
193305,11.04,9.18,25.09,11.95,17.37
193306,12.67,4.72,10.55,9.08,10.5
193307,-8.08,-2.1,-19.9,-12.46,-4.36
193308,8.06,10.17,-0.15,-2.14,4.53
193309,-8.4,-3.7,-1.24,-1.84,-3.56
193310,-8.78,-11.6,-5.75,-8.22,-7.18
193311,5.48,4.45,9.63,7.49,5.63
193312,-2.89,-4.87,-10.59,-21.04,-3.75
193401,10.34,6.46,15.36,30.28,5.97
193402,-7.11,-3.1,-3.13,-7.52,2.12
193403,1.94,-0.58,-0.81,0.87,1.27
193404,2.68,4.17,9,-0.83,-1.25
193405,-4.39,1.4,0.02,-4.22,-4.3
193406,3.7,5.17,2.08,1.66,1.32
193407,-5.26,-0.9,-1.6,-4.92,-4.34
193408,3.74,3.63,-3.05,-3.05,2.56
193409,-2.02,2.62,0.45,4.4,1.9
193410,-0.42,2.87,-1.33,5.72,-1.56
193411,7.72,9.02,3.58,8.79,-1.73
193412,-0.57,-2.9,0.68,0.11,-0.59
193501,-0.01,-2.19,-1.06,1.04,-0.46
193502,1.96,0.79,4.73,-0.06,1.04
193503,-4.62,-5.89,-3.4,-0.77,-0.72
193504,3.87,9.02,4.05,-4.97,9.13
193505,0.44,2.18,-4.81,4.02,8.38
193506,7.15,4.4,3.88,6.06,5.35
193507,1.59,7.56,4.8,-11.84,5.74
193508,-3.63,-0.07,-0.17,5.3,4.07
193509,1.65,1.54,1.4,-1.91,4.28
193510,6.28,1.58,6.02,5.41,3.11
193511,2.29,-0.5,1.79,1.19,9.72
193512,4.59,-0.35,2.49,0.85,-0.16
193601,2.35,3.34,3.34,4.83,4.17
193602,3.16,-3.25,3.01,8.32,6.57
193603,-1.4,-4.1,3.84,0.18,-3.37
193604,-4.57,-2.55,-8.72,-14.44,-5.66
193605,5.63,4.72,4.88,3.9,6.46
193606,3.21,2.69,1.6,-2.33,2.43
193607,1.9,3.05,5.39,-12.2,2.44
193608,1.4,0.01,-1.57,1.07,1.76
193609,-0.89,-0.78,0.73,2.11,0.33
193610,4.21,1.27,3.77,4.14,5.09
193611,4.42,3.23,3.32,5.46,3.87
